Employee Number,Username/LastName,Password,Role
0,Matibag,Admin,Admin
0,Giltendez,Admin,Admin
0,Parocha,Admin,Admin
0,Roldan,Admin,Admin
0,Caparas,Admin,Admin
1,Garcia,motorPH1,Employee
2,Lim,motorPH2,Employee
3,Aquino,motorPH3,Employee
4,Reyes,motorPH4,Employee
5,Hernandez,motorPH5,Employee
6,Villanueva,motorPH6,Employee
7,San Jose,motorPH7,Employee
8,Romualdez,motorPH8,Employee
9,Atienza,motorPH9,Employee
10,Alvaro,motorPH10,Employee
11,Salcedo,motorPH11,Employee
12,Lopez,motorPH12,Employee
13,Farala,motorPH13,Employee
14,Martinez,motorPH14,Employee
15,Romualdez,motorPH15,Employee
16,Mata,motorPH16,Employee
17,De Leon,motorPH17,Employee
18,San Jose,motorPH18,Employee
19,Rosario,motorPH19,Employee
20,Bautista,motorPH20,Employee
21,Lazaro,motorPH21,Employee
22,Delos Santos,motorPH22,Employee
23,Santos,motorPH23,Employee
24,Del Rosario,motorPH24,Employee
25,Tolentino,motorPH25,Employee
26,Gutierrez,motorPH26,Employee
27,Manalaysay,motorPH27,Employee
28,Villegas,motorPH28,Employee
29,Ramos,motorPH29,Employee
30,Maceda,motorPH30,Employee
31,Aguilar,motorPH31,Employee
32,Castro,motorPH32,Employee
33,Martinez,motorPH33,Employee
34,Santos,motorPH34,Employee
